firm_id,name,owner_name,owner_age_estimate,address,city,state,zip_code,metro,phone,email,website,subindustry,naics_code,revenue_estimate,employee_count,years_established,yelp_rating,yelp_review_count,google_rating,google_review_count,succession_risk_score,wealth_index,formation_rate,estimated_ebitda,estimated_multiple,deal_score
firm_0271,Midtown LLC,Deborah Campbell,62,9410 Main Dr,Brickell,FL,33131,Miami,(768) 215-9224,info@midtownllccpa.com,www.midtownllccpa.com,Tax Preparation,541213,6569685,40,25,4.0,93,3.8,116,53,91,17.3,1078368,2.9197012867889427,92.65
firm_0621,Sharon Jackson Accounting,William Baker,72,8250 Second Dr,Sarasota,FL,34236,Sarasota,(287) 407-1095,info@sharonjacksonaccpa.com,www.sharonjacksonaccpa.com,Payroll Services,541214,2707187,25,33,4.9,123,4.7,136,66,88,10.6,657860,3.6196781064918984,92.62
firm_0250,Family Advisory Services,John Gonzalez,69,6386 Main St,Pinecrest,FL,33156,Miami,(253) 720-3312,info@familyadvisorystax.com,www.familyadvisorystax.com,Bookkeeping Services,541219,1766156,11,34,5.0,9,4.8,13,79,94,11.8,405041,3.341085119719571,92.36
firm_0420,Hills Tax Preparation,Lisa Lopez,61,8921 First St,Orlando,FL,32804,Orlando,(232) 211-2516,info@hillstaxprepara.com,www.hillstaxprepara.com,Bookkeeping Services,541219,4431730,25,33,4.1,123,4.0,178,60,76,12.8,1073800,3.137667246016357,92.36
firm_0424,Ridge LLC,Thomas Carter,63,1518 Main Dr,Orlando,FL,32804,Orlando,(205) 717-2498,info@ridgellccpa.com,www.ridgellccpa.com,Tax Preparation,541213,3071235,12,23,5.0,21,4.7,29,56,76,12.8,935246,2.45837658316841,92.36
firm_0127,Capital Tax Advisors,William Hall,67,5180 First Way,North End,MA,02113,Boston,(565) 806-2937,info@capitaltaxadviscpa.com,www.capitaltaxadviscpa.com,Forensic Accounting,541211,6732164,44,24,4.4,126,4.1,143,62,89,16.3,1826979,4.482624966653758,92.35
firm_0104,Capital Accounting,Jason Rodriguez,71,3056 Oak Way,Brighton,MA,02135,Boston,(341) 997-3317,info@capitalaccountitax.com,www.capitalaccountitax.com,Forensic Accounting,541211,6972721,30,26,4.1,87,3.9,148,72,74,13.1,2312561,4.006904867383791,92.27000000000001
firm_0095,Helen Jones CPA,Dorothy Green,74,7086 Commerce Dr,Cambridge,MA,02142,Boston,(746) 625-7144,info@helenjonescpatax.com,www.helenjonescpatax.com,Payroll Services,541214,6542506,17,11,4.7,129,5.0,142,54,88,17.2,2125495,3.794010769889799,92.2
firm_0136,Jeffrey Clark Tax Services,Karen Martin,41,5459 Park Ave,Financial District,MA,02110,Boston,(471) 853-6856,info@jeffreyclarktaxcpa.com,www.jeffreyclarktaxcpa.com,Bookkeeping Services,541219,1665412,9,35,4.7,29,4.8,37,40,93,21.4,401728,2.8595358050086883,91.95
firm_0649,Hills Tax Preparation,Robert Rivera,63,8559 Elm Blvd,Tallahassee,FL,32301,Tallahassee,(725) 386-6654,info@hillstaxprepara.com,www.hillstaxprepara.com,Forensic Accounting,541211,3597172,22,34,4.3,140,4.0,155,64,73,12.8,933650,4.484211177157545,91.91
firm_0150,North Professional Corporation,Amy Perez,61,2013 Second St,Saugus,MA,01906,Boston,(421) 330-2040,info@northprofessioncpa.com,www.northprofessioncpa.com,Tax Preparation,541213,3084841,16,39,4.1,89,3.8,139,58,78,11.7,1060370,2.674773018364217,91.89
firm_0046,Heritage Financial Services,Deborah Walker,68,5155 Business Dr,Lexington,MA,02420,Boston,(639) 629-7400,info@heritagefinanci.com,www.heritagefinanci.com,Tax Preparation,541213,5599657,16,13,4.3,46,4.6,59,54,96,12.1,1020172,3.2913583088802154,91.87
firm_0366,Larry Davis Accounting,Amy Campbell,73,2031 Main Way,Sunny Isles,FL,33160,Miami,(803) 553-6100,info@larrydavisaccoucpa.com,www.larrydavisaccoucpa.com,Bookkeeping Services,541219,6787482,30,25,5.0,128,5.0,122,63,85,15.3,1381980,3.3898378416276707,91.75
firm_0370,Paul White & Associates,Brian Young,60,2163 Business St,Sunny Isles,FL,33160,Miami,(861) 884-5968,info@paulwhiteandasstax.com,www.paulwhiteandasstax.com,Payroll Services,541214,8675870,42,29,4.1,131,4.0,106,51,85,15.3,1947098,4.289257726825712,91.75
firm_0037,Family Solutions,John Carter,59,7532 Business Blvd,Burlington,MA,01803,Boston,(900) 785-9500,info@familysolutionscpa.com,www.familysolutionscpa.com,Forensic Accounting,541211,2255180,17,26,4.7,149,4.8,132,35,91,15.3,526927,4.183020575190012,91.65
firm_0587,Ridge Professional Corporation,Brian Harris,63,717 Oak Dr,Fort Lauderdale,FL,33316,Fort Lauderdale,(838) 619-2230,info@ridgeprofessioncpa.com,www.ridgeprofessioncpa.com,Tax Preparation,541213,2701171,19,14,4.8,107,4.8,99,50,75,11.8,714511,3.2547620571697005,91.50999999999999
firm_0589,Hills Professional Corporation,Sharon Nelson,63,9969 Park St,Fort Lauderdale,FL,33316,Fort Lauderdale,(668) 243-4676,info@hillsprofession.com,www.hillsprofession.com,Bookkeeping Services,541219,3128427,11,38,4.5,78,4.5,65,64,75,11.8,993615,3.32289740699188,91.50999999999999
firm_0126,Gary Sanchez CPA,Paul Davis,44,2098 Commerce Blvd,North End,MA,02113,Boston,(491) 538-5934,info@garysanchezcpa.com,www.garysanchezcpa.com,CPA Firms,541211,2480148,19,28,4.9,98,5.0,174,34,89,16.3,595415,3.4488219977454606,91.35
firm_0158,Eric Thomas CPA,Scott Rivera,63,6112 Second Dr,Somerville,MA,02144,Boston,(300) 680-1026,info@ericthomascpa.com,www.ericthomascpa.com,Bookkeeping Services,541219,9379457,32,20,4.0,60,4.2,100,53,82,14.6,2139996,2.9294715859764833,91.3
firm_0213,Elite Firm,Kenneth Garcia,67,7264 Oak Dr,Lowell,MA,01851,Lowell,(490) 445-2553,info@elitefirm.com,www.elitefirm.com,CPA Firms,541211,1104229,7,26,4.6,67,4.3,40,67,74,11.6,217178,3.5436219460502643,91.22
firm_0355,North Advisory Services,James Sanchez,44,7348 First Blvd,Aventura,FL,33158,Miami,(548) 267-8961,info@northadvisoryse.com,www.northadvisoryse.com,Bookkeeping Services,541219,1675430,10,28,4.1,146,4.1,238,30,89,14.1,405149,2.8710353784462592,91.22
firm_0076,Park Tax Advisors,David Harris,52,4451 Park Blvd,Boston,MA,02114,Boston,(772) 268-7648,info@parktaxadvisorstax.com,www.parktaxadvisorstax.com,Tax Preparation,541213,3401512,11,31,4.3,99,4.6,102,31,87,15.9,1099378,2.794686499009187,91.05
firm_0132,Jose Scott Accounting,Karen Green,50,5373 Business Blvd,Downtown,MA,02109,Boston,(292) 776-9323,info@josescottaccountax.com,www.josescottaccountax.com,Bookkeeping Services,541219,4161456,11,16,4.0,81,4.0,138,32,87,19.1,934975,3.4500008042811063,91.05
firm_0330,Heritage Associates,Richard Lee,59,6725 Business Way,Miami Beach,FL,33149,Miami,(612) 921-7074,info@heritageassocia.com,www.heritageassocia.com,Tax Preparation,541213,4416452,14,36,4.6,114,4.4,105,40,87,16.2,1285880,3.2238306288226286,91.05
firm_0114,Bay Area Partners,Jason Nelson,61,9834 Oak Ave,Charlestown,MA,02129,Boston,(702) 615-9882,info@bayareapartnerscpa.com,www.bayareapartnerscpa.com,Payroll Services,541214,2507458,19,26,4.2,33,4.1,57,48,86,14.9,562549,3.405359614840133,90.9
firm_0475,Grove Audit Services,Richard Scott,63,8838 Park Way,Tampa,FL,33606,Tampa,(937) 538-7578,info@groveauditservicpa.com,www.groveauditservicpa.com,CPA Firms,541211,9106207,26,37,4.7,112,4.5,133,65,83,13.5,1978174,3.309037698837257,90.9
firm_0646,Crown Advisory Services,Stephen King,69,5657 Elm St,Gainesville,FL,32601,Gainesville,(239) 336-1665,info@crownadvisorysecpa.com,www.crownadvisorysecpa.com,Payroll Services,541214,2248547,25,12,4.8,122,4.9,172,54,69,11.9,603100,4.288435511725988,90.68
firm_0582,Helen White Accounting,Ronald Campbell,74,3570 Main Way,Fort Lauderdale,FL,33308,Fort Lauderdale,(930) 468-7770,info@helenwhiteaccoucpa.com,www.helenwhiteaccoucpa.com,Estate Planning,541211,9685446,19,14,4.7,47,4.8,51,53,87,12.1,2922591,3.8855512628735847,90.52
firm_0517,Strategic Associates,Michelle Nelson,67,5586 Business Way,Tampa,FL,33611,Tampa,(669) 814-3011,info@strategicassocicpa.com,www.strategicassocicpa.com,Payroll Services,541214,1776194,14,32,3.6,93,3.6,123,72,77,12.6,436463,4.125133352617363,90.37
firm_0543,Local CPAs,Jose Walker,69,7846 Second Way,Jacksonville,FL,32207,Jacksonville,(638) 715-2489,info@localcpastax.com,www.localcpastax.com,Tax Preparation,541213,2685853,13,17,4.2,51,4.1,49,54,72,10.8,661723,3.118664075427557,90.36
firm_0545,Lisa Robinson Tax Services,Eric White,66,3222 Third Way,Jacksonville,FL,32207,Jacksonville,(517) 856-7964,info@lisarobinsontax.com,www.lisarobinsontax.com,Forensic Accounting,541211,3818485,12,11,4.4,149,4.7,149,51,72,10.8,1298517,4.453217599248217,90.36
firm_0447,Jeffrey Sanchez CPA,Lisa Rivera,55,3289 Main Blvd,Orlando,FL,32808,Orlando,(484) 269-2860,info@jeffreysanchezccpa.com,www.jeffreysanchezccpa.com,Forensic Accounting,541211,4327564,20,37,4.1,84,4.2,106,52,68,11.6,1177339,3.73472117455447,90.32
firm_0362,Regional Tax Preparation,Angela Jones,63,9204 Main Dr,Aventura,FL,33158,Miami,(579) 661-8746,info@regionaltaxprep.com,www.regionaltaxprep.com,Payroll Services,541214,1043276,13,35,4.4,4,4.6,3,66,89,14.1,243026,4.128535011632883,90.22
firm_0092,Hills Business Services,Stephen Perez,60,2102 Park Dr,Cambridge,MA,02142,Boston,(309) 775-1648,info@hillsbusinessse.com,www.hillsbusinessse.com,Forensic Accounting,541211,1331643,10,28,3.9,144,4.1,120,56,88,17.2,258363,4.070610114865805,90.2
firm_0080,Strategic Company,David Sanchez,68,5204 Business Dr,Boston,MA,02114,Boston,(859) 490-5079,info@strategiccompantax.com,www.strategiccompantax.com,Payroll Services,541214,3910039,22,36,3.7,57,3.8,93,64,87,15.9,1042623,3.7917210491348077,90.05
firm_0129,Ruth Thompson Tax Services,John Miller,74,7753 Elm Way,Downtown,MA,02109,Boston,(863) 597-7961,info@ruththompsontaxtax.com,www.ruththompsontaxtax.com,Payroll Services,541214,4240947,22,13,3.9,82,4.1,138,61,87,19.1,827080,3.4990109899878368,90.05
firm_0238,Summit Tax Advisors,Edward Rodriguez,70,1438 Park Way,Coral Gables,FL,33134,Miami,(918) 944-8025,info@summittaxadvisocpa.com,www.summittaxadvisocpa.com,Tax Preparation,541213,7965362,30,39,4.6,47,4.8,64,69,82,12.3,2249453,2.9732120261758572,89.91
firm_0494,Heritage LLC,Dorothy Taylor,65,9920 Second Ave,Tampa,FL,33647,Tampa,(483) 278-6041,info@heritagellctax.com,www.heritagellctax.com,Payroll Services,541214,2745068,15,35,3.8,95,3.9,120,71,76,12.1,606380,4.197652024705352,89.87
firm_0246,North Specialists,Dorothy Brown,65,3750 Second St,Miami Beach,FL,33139,Miami,(667) 880-3026,info@northspecialisttax.com,www.northspecialisttax.com,Forensic Accounting,541211,3771165,12,24,3.7,51,3.6,35,69,85,15.7,1267458,3.7931966875072334,89.75
firm_0483,North Tax Services,John Lee,70,9299 Main Ave,Tampa,FL,33629,Tampa,(302) 248-7607,info@northtaxservicetax.com,www.northtaxservicetax.com,Forensic Accounting,541211,4658010,23,12,3.5,96,3.5,125,61,91,12.9,1047203,3.71453652748503,89.68
firm_0067,North Business Services,Sarah Torres,66,1297 Oak Ave,Boston,MA,02101,Boston,(252) 719-5107,info@northbusinessse.com,www.northbusinessse.com,Estate Planning,541211,2538241,21,21,3.8,49,4.0,52,62,84,18.4,603700,3.993644020834137,89.6
firm_0183,Ridge Professional Corporation,James Harris,75,2455 Elm St,Worcester,MA,01610,Worcester,(383) 414-9670,info@ridgeprofessioncpa.com,www.ridgeprofessioncpa.com,Bookkeeping Services,541219,4423174,23,19,4.9,33,5.0,52,61,69,10.1,768154,2.9633650192812944,89.42
firm_0512,Valley Company,Sandra Ramirez,60,5018 Second Ave,Tampa,FL,33611,Tampa,(671) 405-4959,info@valleycompany.com,www.valleycompany.com,Estate Planning,541211,8132179,37,34,4.7,113,4.8,67,50,77,12.6,1408902,3.834705014926974,89.37
firm_0032,Ridge Solutions,Scott Jones,65,9926 Third Blvd,Boston,MA,02215,Boston,(785) 972-7560,info@ridgesolutionscpa.com,www.ridgesolutionscpa.com,Payroll Services,541214,1177684,10,16,4.0,19,4.1,17,61,85,13.7,245577,4.234685205849447,89.34
firm_0111,Carol Mitchell & Associates,Laura Nelson,63,6811 Elm Dr,Brighton,MA,02135,Boston,(987) 748-4454,info@carolmitchellancpa.com,www.carolmitchellancpa.com,Bookkeeping Services,541219,6112874,37,31,4.2,56,4.0,93,60,74,13.1,1159939,3.1773562204299086,89.27000000000001
firm_0318,Ashley Thompson Tax Services,Angela Davis,73,841 Elm Dr,Coral Gables,FL,33146,Miami,(623) 451-5987,info@ashleythompsonttax.com,www.ashleythompsonttax.com,CPA Firms,541211,6915799,32,32,3.6,43,3.3,75,79,89,12.7,2263369,3.637518310600685,89.24000000000001
firm_0379,Executive Solutions,Sandra Martinez,66,1557 Elm St,North Miami Beach,FL,33162,Miami,(293) 794-9228,info@executivesolutitax.com,www.executivesolutitax.com,CPA Firms,541211,8041511,15,12,4.7,131,4.5,222,57,75,12.8,1339216,3.24996906682057,89.21000000000001
firm_0386,Jeffrey Baker Tax Services,Kimberly Hernandez,62,3023 Elm Dr,North Miami Beach,FL,33162,Miami,(290) 289-5480,info@jeffreybakertaxtax.com,www.jeffreybakertaxtax.com,CPA Firms,541211,5814394,33,10,4.9,51,4.7,47,50,75,12.8,1154025,3.3482213210274376,89.21000000000001
firm_0229,Downtown Bookkeeping,Larry Harris,55,341 Elm Blvd,Peabody,MA,01960,Boston,(267) 723-8025,info@downtownbookkeetax.com,www.downtownbookkeetax.com,Payroll Services,541214,3753190,25,11,4.4,62,4.7,54,38,81,12.9,966795,4.069730100629712,89.18
firm_0275,Summit CPA,Larry Scott,50,5807 Business Dr,Kendall,FL,33143,Miami,(235) 241-9463,info@summitcpatax.com,www.summitcpatax.com,Estate Planning,541211,1973101,13,36,4.7,56,4.8,60,31,76,13.6,323844,3.4757806621878515,88.92
firm_0596,Metro Financial Services,Helen Walker,58,8858 Elm Way,West Palm Beach,FL,33401,West Palm Beach,(235) 666-3574,info@metrofinancialstax.com,www.metrofinancialstax.com,Estate Planning,541211,1578611,11,32,4.3,27,4.1,32,44,80,12.7,339966,3.5133697004873996,88.89
firm_0635,Mark Nelson CPAs,Dorothy Martin,61,2504 Oak Way,Naples,FL,34108,Naples,(774) 750-6847,info@marknelsoncpastax.com,www.marknelsoncpastax.com,Payroll Services,541214,7103054,22,39,4.2,20,4.2,14,61,97,7.4,2031948,3.8221016227363256,88.72999999999999
firm_0267,Susan Nguyen Tax Services,James Walker,69,1191 Second Way,Brickell,FL,33131,Miami,(404) 979-8163,info@susannguyentaxs.com,,CPA Firms,541211,4117347,16,40,4.0,22,3.9,19,75,91,17.3,1085398,3.65815281896366,88.65
firm_0437,Legacy Tax Advisors,Edward Young,68,6338 Second Ave,Orlando,FL,32807,Orlando,(205) 887-9099,info@legacytaxadviso.com,www.legacytaxadviso.com,Payroll Services,541214,6859441,35,16,4.3,81,4.4,93,59,72,12.3,1919648,3.58554990562975,88.41
firm_0418,Park Partners,Steven Allen,55,5614 Oak St,Orlando,FL,32804,Orlando,(485) 887-5824,info@parkpartnerstax.com,www.parkpartnerstax.com,Estate Planning,541211,3865907,10,14,4.5,66,4.5,60,37,76,12.8,1016640,3.95427482865974,88.36
firm_0407,Community Specialists,Nancy Baker,69,109 Business Dr,Winter Springs,FL,32789,Orlando,(861) 754-5408,info@communityspecia.com,,Forensic Accounting,541211,4818746,21,31,4.2,25,3.9,32,86,89,14.7,1518830,4.678403472866657,88.35
firm_0001,Quality Professional Corporation,Dorothy Davis,69,4959 Business Ave,Cambridge,MA,02139,Boston,(957) 731-9385,info@qualityprofessi.com,,CPA Firms,541211,2473265,23,16,4.6,30,4.7,49,71,89,14.2,534049,3.2802292077856663,88.28999999999999
firm_0077,Valley Professional Corporation,Amy Jackson,48,7562 First Ave,Boston,MA,02114,Boston,(837) 866-4074,info@valleyprofessiocpa.com,www.valleyprofessiocpa.com,Payroll Services,541214,8287761,17,23,4.8,65,4.8,47,33,87,15.9,2653845,4.228054409661982,88.05
firm_0056,Midtown Consulting,Brian Thompson,72,6349 Park St,Weston,MA,02493,Boston,(542) 668-4162,info@midtownconsultitax.com,www.midtownconsultitax.com,Estate Planning,541211,2167801,15,16,3.6,59,3.5,76,55,98,8.9,536921,4.184861612703017,87.93
firm_0651,Bay Area LLC,William Campbell,61,6693 Elm Way,Tallahassee,FL,32301,Tallahassee,(866) 816-1293,info@bayareallccpa.com,www.bayareallccpa.com,Bookkeeping Services,541219,4555664,11,14,4.2,63,4.3,53,39,73,12.8,1530411,3.1559865718654123,87.91
firm_0654,Jose Martin Tax Services,Kenneth Mitchell,61,9975 Business Dr,Tallahassee,FL,32301,Tallahassee,(662) 251-9738,info@josemartintaxse.com,www.josemartintaxse.com,Payroll Services,541214,1129883,10,10,4.0,77,4.0,80,48,73,12.8,390253,3.933653686778859,87.91
firm_0117,Richard Rivera & Associates,Andrew Harris,44,2328 Park Way,Charlestown,MA,02129,Boston,(416) 689-8580,info@richardriveraancpa.com,www.richardriveraancpa.com,Bookkeeping Services,541219,7650376,31,35,4.6,65,4.5,103,30,86,14.9,1555633,2.848177654591917,87.9
firm_0365,Mark Nguyen CPA,Betty Lewis,53,1842 Main Ave,Sunny Isles,FL,33160,Miami,(415) 536-8254,info@marknguyencpacpa.com,www.marknguyencpacpa.com,Bookkeeping Services,541219,9078758,43,20,5.0,122,5.0,105,33,85,15.3,1612002,3.560572586800074,87.75
firm_0369,Metro Bookkeeping,Kenneth Harris,54,642 Business Dr,Sunny Isles,FL,33160,Miami,(728) 838-8208,info@metrobookkeepin.com,www.metrobookkeepin.com,Payroll Services,541214,5441183,19,34,4.8,142,4.9,231,36,85,15.3,978377,3.643788987653161,87.75
firm_0644,Steven Ramirez CPA,Eric Hill,65,5733 Third St,Gainesville,FL,32601,Gainesville,(477) 733-3858,info@stevenramirezcpcpa.com,www.stevenramirezcpcpa.com,Forensic Accounting,541211,5521376,23,23,4.1,91,4.3,163,58,69,11.9,1121140,3.775155179430472,87.68
firm_0082,Valley Business Services,Dorothy Garcia,72,9743 Oak St,Cambridge,MA,02138,Boston,(366) 529-3685,info@valleybusinessscpa.com,www.valleybusinessscpa.com,Tax Preparation,541213,1318371,6,18,3.0,130,3.2,80,59,91,15.8,356685,3.0139797770876253,87.65
firm_0348,Bay Area Company,Sandra Robinson,61,6071 Park St,Palmetto Bay,FL,33157,Miami,(864) 943-2026,info@bayareacompany.com,,Payroll Services,541214,3870232,14,22,4.7,26,4.4,16,70,91,12.6,1304796,3.6953473430505617,87.47
firm_0249,Sandra Jones Tax Services,Robert Hill,55,1616 Second Dr,Pinecrest,FL,33156,Miami,(961) 288-4899,info@sandrajonestaxstax.com,www.sandrajonestaxstax.com,Bookkeeping Services,541219,10052844,18,20,4.7,142,4.6,249,37,94,11.8,2889932,3.551245943906255,87.36
firm_0123,David Brown Tax Services,Michelle Carter,65,3587 Third St,North End,MA,02113,Boston,(424) 309-6602,info@davidbrowntaxsetax.com,www.davidbrowntaxsetax.com,Estate Planning,541211,9086668,16,13,3.8,40,4.1,26,52,89,16.3,2130002,3.7378868579174833,87.35
firm_0027,Matthew Hall CPA,Kevin Thomas,62,9947 Oak St,Boston,MA,02215,Boston,(615) 792-3842,info@matthewhallcpa.com,www.matthewhallcpa.com,Bookkeeping Services,541219,9063254,32,12,4.7,106,4.9,94,48,85,13.7,1994033,3.177721504647259,87.34
firm_0628,Michael Anderson Tax Services,Carol Moore,60,1504 Main St,Naples,FL,34102,Naples,(563) 338-3285,info@michaelanderson.com,www.michaelanderson.com,Forensic Accounting,541211,1358103,12,35,4.6,14,4.3,8,60,95,8.7,410592,3.8253413178183484,87.34
firm_0662,Bay Area Bookkeeping,Carol Harris,36,5811 Business Ave,Cape Coral,FL,33904,Cape Coral,(478) 598-2347,info@bayareabookkeepcpa.com,www.bayareabookkeepcpa.com,Payroll Services,541214,1287982,6,33,4.8,133,4.8,228,30,76,11.3,339130,3.3458748651477905,87.31
firm_0359,Premier Advisory Services,James Nelson,67,9462 Oak St,Aventura,FL,33158,Miami,(437) 241-1523,info@premieradvisory.com,www.premieradvisory.com,Payroll Services,541214,9294199,15,29,3.9,71,3.6,122,57,89,14.1,2189728,4.258847378573273,87.22
firm_0166,Heritage Company,Carol Garcia,70,7883 Elm Way,Worcester,MA,01609,Worcester,(770) 240-3681,info@heritagecompany.com,www.heritagecompany.com,Forensic Accounting,541211,4991005,10,30,3.5,125,3.7,108,80,68,9.8,987480,4.694321661450446,87.06
firm_0326,Paul Wright CPA,David Carter,68,4943 Business Way,Miami Beach,FL,33149,Miami,(858) 757-6774,info@paulwrightcpa.com,www.paulwrightcpa.com,Estate Planning,541211,8705437,36,16,4.4,14,4.5,15,64,87,16.2,1551806,4.31064666356203,87.05
firm_0112,Capital Tax Services,Dorothy Thomas,65,831 Third Ave,Charlestown,MA,02129,Boston,(900) 370-7448,info@capitaltaxservicpa.com,www.capitaltaxservicpa.com,Payroll Services,541214,2407726,14,34,3.0,150,2.9,224,63,86,14.9,650919,4.123569913130151,86.9
firm_0474,Grove Professional Corporation,Kenneth Adams,50,2129 Park Dr,Tampa,FL,33606,Tampa,(274) 793-8072,info@groveprofessioncpa.com,www.groveprofessioncpa.com,Forensic Accounting,541211,7412865,38,28,4.1,135,3.9,204,35,83,13.5,2365657,4.666188024379691,86.9
firm_0468,Precision Solutions,Edward Wright,53,9738 Park Dr,Tampa,FL,33602,Tampa,(484) 437-6877,info@precisionsoluti.com,www.precisionsoluti.com,CPA Firms,541211,6020565,45,17,4.3,47,4.5,46,35,79,14.8,1728229,3.6133325011322164,86.85
firm_0244,Uptown Group,David Rivera,60,9086 Park Blvd,Miami Beach,FL,33139,Miami,(287) 578-5974,info@uptowngroupcpa.com,www.uptowngroupcpa.com,CPA Firms,541211,6870484,36,33,3.8,121,3.7,176,54,85,15.7,2317838,3.8681216088941652,86.75
firm_0334,Regional CPAs,Scott Hernandez,39,9540 Business Way,Bal Harbour,FL,33154,Miami,(526) 606-9833,info@regionalcpastax.com,www.regionalcpastax.com,Forensic Accounting,541211,5131487,35,35,4.4,102,4.4,102,36,96,10.4,1729280,4.214203920816812,86.68
firm_0036,Valley Associates,Thomas Flores,42,26 Oak Ave,Burlington,MA,01803,Boston,(717) 260-4781,info@valleyassociate.com,www.valleyassociate.com,Tax Preparation,541213,2966445,22,17,4.0,85,4.2,106,20,91,15.3,746547,2.795030871051654,86.65
firm_0103,Local Audit Services,Lisa Nguyen,68,4802 Park St,Allston,MA,02134,Boston,(678) 625-8825,info@localauditservi.com,www.localauditservi.com,Estate Planning,541211,4702553,12,18,3.7,78,4.0,79,62,71,12.8,1479498,3.931357063661794,86.61
firm_0068,Local Company,Kevin Hernandez,59,1480 Elm Blvd,Boston,MA,02101,Boston,(956) 298-8437,info@localcompany.com,www.localcompany.com,Bookkeeping Services,541219,7037355,24,37,3.6,105,3.5,82,54,84,18.4,2055804,2.9560741565591964,86.6
firm_0350,Midtown Tax Preparation,Deborah Brown,61,3432 Second Blvd,Palmetto Bay,FL,33157,Miami,(325) 437-4703,info@midtowntaxprepacpa.com,www.midtowntaxprepacpa.com,Payroll Services,541214,3372980,12,32,3.4,133,3.2,198,60,91,12.6,1087338,3.9039997597533374,86.47
firm_0351,Steven Lewis & Associates,Michelle Jones,61,635 First Blvd,Palmetto Bay,FL,33157,Miami,(263) 774-7586,info@stevenlewisandatax.com,www.stevenlewisandatax.com,Forensic Accounting,541211,9951345,15,31,4.5,9,4.3,12,56,91,12.6,3407325,4.305884041934159,86.47
firm_0120,Excellence Associates,Joseph Taylor,35,9313 Elm St,North End,MA,02113,Boston,(690) 786-4766,info@excellenceassoctax.com,www.excellenceassoctax.com,Payroll Services,541214,2975678,18,32,4.1,4,4.0,5,36,89,16.3,989919,3.8015352982328405,86.35
firm_0522,Paul Hernandez CPAs,Carol Mitchell,73,6568 Business Way,Tampa,FL,33612,Tampa,(889) 754-9760,info@paulhernandezcpcpa.com,www.paulhernandezcpcpa.com,CPA Firms,541211,1761649,7,16,3.7,24,3.5,22,55,73,11.9,332888,3.6872748314772688,86.28
